sku_id,machine_family,machine_type,vcpus,memory,cpu_arch,region,region_code,zone,os,network_tier,price_model,on_demand_hourly_usd,spot_hourly_usd,sustained_use_discount_eligible,cud_1yr_discount,cud_3yr_discount,preemptible_available,effective_date,currency,boot_disk_type,boot_disk_gb,local_ssd_count,local_ssd_total_gb,gpu_model,gpu_count,gpu_hourly_usd,egress_destination,egress_gb,egress_unit_price_usd,billing_frequency,usage_hours_month,monthly_cost_estimate_usd,price_source,feedback
SKU-97FAC7431E40,e2, e2-highmem-32 ,32,256,X86-64,SOUTHAMERICA-EAST1,SOUTHAMERICA-EAST1,SOUTHAMERICA-EAST1-E,SUSE,premium ,OnDemand,$2.0585,$0.3154,no,,0.57,Y,04/26/2023,EUR,pd_ssd,25 GB,2,,,0.0,0,australia,100,0.1885,per minute,720,$1552.54,Calculator,Overpriced for the specifications
SKU-93C30C991782,n1,n1 HIGHCPU 64, 64vcpus ,57.6,X86-64,SOUTHAMERICA-EAST1,southamerica-east1,SOUTHAMERICA-EAST1-A,Linux,STANDARD,OnDemand,2.5355,,True, 25 % ,,N,18/10/2023,US$,pd_ssd,10,4,,,0.0,,intercontinental,up to 1000GB,0.12 USD/GB,per minute,730,"1968,54 USD",Calculator,Too costly relative to resources
SKU-5CA56AA1BACC,n2, n2 HIGHCPU 32 ,32,32,x86_64,asia-southeast1,asia-southeast1,asia-southeast1-a,RHEL,STANDARD,OnDemand,US$ 1.5121,0.4661 USD,False,0.2, 45 % ,,2024/12/19,US$,pd_ssd,100,2,2x375,,0.0,0,same-region,50,$0.010/GB,per_second,730,"1121,38 USD",Manual,"Affordable and reliable, highly recommended"
SKU-F7136C3E0125,a2,A2 HIGHCPU 96,96 vCPU,192,x86_64,Sydney,australia_southeast1,Australia Southeast1 B ,Linux,premium ,on_demand,"€6,4668",2.2907,False,0.2,0.5,False,2025-01-06,EUR,PD-STANDARD,50,4,0,,0.0,0,china,500,0.2343,per_second,720,"4775,3 USD",Calculator,Great price point for the resources provided
SKU-96D6F53524C4,n2d,n2d-highmem-4,4,32GiB,x86_64,Australia Southeast1,australia_southeast1,australia-southeast1-c,RHEL,Premium,on-demand,"€0,3284","€0,1092",, 20 % ,,true,26/01/2023,€,PD-BALANCED,25,4,,,0.0,0,intercontinental,50,0.1229,Per_Second,730,"228,5 USD",Pricing API,Very satisfied with the pricing and performance
SKU-943A38DD2EE4,e2,e2-highcpu-2,2 vCPU,2GiB,arm64,Europe West (Netherlands),europe_west4,EUROPE-WEST4-E,SUSE,STANDARD,on-demand,0.0671,0.0294,true,, 57 % ,1,12-05-2024,EUR,PD-SSD,100,2,,,,0,same-continent,200,0.08 USD/GB,hourly,approx 500,$74.44,Calculator,"Poor value, consider alternatives"
SKU-C77E6FBBE504,c2,c2-standard-96, 96vcpus ,384,arm64,Us Central1,US-CENTRAL1,uscentral1c,SUSE,premium ,on_demand,$5.8380,$1.7672,0,30%,,False,15-04-2025,EUR,pd-ssd,100,2,0,,0.0,,same-region,500,0.0097,Per_Second,654,"3532,71 USD",Pricing table,Fair value proposition
SKU-EF5E0EFBCB53,n2d,n2dhighmem2,2,16,arm64,US-EAST4,US-EAST4,Us East4 B ,RHEL,Standard,on_demand,0.1489 USD,,False,0.2, 57 % ,no,2025/08/14,usd,pd-ssd,10,1,,NVIDIA_T4,2.0,US$ 0.6524,intercontinental,10,$0.115/GB,per_second,730,$587.84,Calculator,"Expensive option, not recommended"
SKU-9E467C953B67,c2,c2-highcpu-96,96,96 GB,X86-64,Us Central1,us_central1,Us Central1 C ,linux,STANDARD,on-demand,3.9882,"1,2515",False,,57%,Y,05-02-2024,usd,pd-balanced,10,2,,NVIDIA_V100,1.0,"2,5313",same-region,1000,"0,01 /GB",per-second,279,"1829,97 USD",Pricing table,"Good value proposition, worth the investment"
SKU-A1C70F0A73FB,c2,c2-highcpu-64,64,64GiB,X86-64,southamerica-east1,SOUTHAMERICA-EAST1,southamerica-east1-c,SUSE,Premium,on-demand,3.7771 USD,$0.9612,1, 20 % , 57 % ,False,22/07/2024,US$,pd-balanced,100 GB,4,,NVIDIA_A100_40GB,2.0,7.0910 USD,australia,10,$0.199/GB,hourly,720,"7837,07 USD",Calculator,"Good value, meets our requirements perfectly"
SKU-AFF198C296C6,n2d,n2d-highcpu-4,4,4,X86-64,Finland,europe-north1,Europe North1 C ,Windows Server 2022,premium ,on-demand,0.2308,0.0505 USD,True, 30 % ,45%,False,27-06-2024,usd,pd-ssd,100,4,,,0.0,0,same-continent,up to 100GB,"0,0839 /GB",per minute,464,132.51,Pricing table,"Not worth the price, overpriced"
SKU-EB1CA7792369,n2,n2-standard-8, 8vcpus , 32GB ,arm64,me_central1,ME-CENTRAL1,Me Central1 B ,RHEL,Premium,on_demand,$0.5474,0.1668 USD,False,,0.45,true,15-02-2024,€,pd_standard,10,2,375,,0.0,0,intercontinental,10,"€0,121/GB",Per_Second,730,369.11,Pricing API,"Standard pricing, no complaints"
SKU-7B9B8CC40054,n2,n2-highmem-64, 64vcpus ,512,x86_64,us-east4,us_east4,us-east4-c,Linux,Standard,on-demand,$4.4339,$0.9030,,20%,57%,,09/10/2025,usd,pd-ssd,100 GB,0,0,,0.0,0,same-region,up to 1000GB,0.01 USD/GB,per minute,720,$3219.28,Pricing API,Not affordable for our budget
SKU-046F5524DA33,e2,e2-highcpu-2,2 vCPU,2,arm64,Asia East1,asia_east1,asiaeast1b,Linux,Standard,on-demand,"€0,0556",$0.0147,, 20 % ,57%,no,01/30/2023,€,pd_balanced,25GB,1,750,,0.0,0,australia,100,0.19 USD/GB,per minute,730,"62,22 USD",Pricing table,Cost-effective solution for our workload
SKU-0C65D843A1C1,n1,N1 STANDARD 96, 96vcpus , 360.0GIB ,arm64,us_east1,US-EAST1,Us East1 E ,Linux,Premium,OnDemand,4.3415,$1.5933,0,25%,45%,no,06/15/2023,€,pd-ssd,50,4,,,,0,same-continent,up to 500GB,0.0817,hourly,varies,"3218,6 USD",Pricing API,"Price is reasonable, nothing exceptional"
SKU-4392786DF668,e2, e2-highmem-4 ,4 vCPU,32,arm64,asia-northeast1,ASIA-NORTHEAST1,asianortheast1b,Windows Server 2019,Standard,OnDemand,US$ 0.2939,0.0875,N, 30 % , 50 % ,Y,2023/10/02,US$,pd_standard,10GB,0,,,,0,china,1000,0.241,per_second,approx 500,$453.04,Pricing table,Great price point for the resources provided
SKU-6E852D69C236,n2,n2-standard-64 ,64 vCPU,256,X86-64,asia-northeast1 ,ASIA-NORTHEAST1,asianortheast1e ,Linux,STANDARD,OnDemand,$3.5885,0.9876 USD,False,0.3,50%,Y,01/07/2023,€,pd-balanced,25GB,2,,,0.0,,australia,200,0.1899,per_second,720,2414.27,Calculator,Very cost-effective for our use case
SKU-22193CC68AF4,c2,c2-standard-64,64,256,arm64,europe-north1,EUROPE-NORTH1,europe-north1-e,Windows Server 2022,STANDARD,on_demand,"€5,1604",1.5972,0,30%, 57 % ,False,07/10/2023,EUR,pd-standard,100 GB,1,,,,,same-region,up to 1000GB,"€0,0101/GB",Per_Second,720,"3879,67 USD",Pricing API,Pricing is in line with market rates
SKU-0036E63A6550,c2,c2-standard-8, 8vcpus ,32,arm64,US-EAST1,us_east1,Us East1 C ,SUSE,STANDARD,on-demand,0.4912,0.1558,1, 20 % ,0.57,True,07/24/2025,USD,pd-standard,100,4,0,,0.0,0,china,up to 50GB,0.2265,per_second,720,"368,99 USD",Calculator,Not cost-effective for our needs
SKU-A4FDB4F7C2C5,e2,e2-highmem-4,4 vCPU,32,arm64,Tokyo,ASIA-NORTHEAST1,Asia Northeast1 A ,Windows Server 2022,STANDARD,on-demand,$0.2860,0.1021,True,,0.45,0,01-07-2023,USD,pd_standard,10,2,,,0.0,0,china,1000,0.23 USD/GB,per minute,730,$436.20,Calculator,"Fair price point, meets expectations"
SKU-C3E10F416999,c2,c2-highmem-2, 2vcpus ,16 GB,x86_64,Finland,EUROPE-NORTH1,europe-north1-b,SUSE,Standard,OnDemand,0.1619 USD,"0,0410",true,,,YES,25/08/2023,USD,PD-SSD, 10gb ,4,,,0.0,0,same-continent,1000,0.08 USD/GB,per minute,730,,Pricing table,Poor price-to-performance ratio
SKU-8AD4A1EEB395,a2, a2highcpu32 ,32,64,X86-64,europe-west1,europe_west1,europewest1e,SUSE,Standard,on-demand,"2,2582","€0,4506",no,0.25,0.45,N,02/02/2024,€,pd_ssd,10GB,4,0,NVIDIA_L4,1.0,0.5908 USD,australia,500,"€0,1909/GB",per minute,730,$2176.86,Manual,"Good value, meets our requirements perfectly"
SKU-A21D134B42CC,n1,n1-highcpu-8,8,7.2,x86_64,us-central1,US-CENTRAL1,us-central1-e,RHEL,STANDARD,OnDemand,0.3311,US$ 0.1201,True,,0.5,False,01/20/2024,US$,PD-BALANCED,100,2,0,,,,china,up to 200GB,0.2229,per-second,730,"296,26 USD",Pricing table,Excellent balance of price and performance
SKU-420364901690,n2,n2 HIGHCPU 16,16,16,X86-64,europe-west1,europe-west1,europe-west1-b,SUSE,STANDARD,OnDemand,0.7374,—,true,0.2, 57 % ,YES,21/11/2023,EUR,pd-standard,10 GB,0,0,NVIDIA_T4,1.0,0.3379,australia,up to 10GB,"€0,1921/GB",hourly,730,,Pricing API,Too expensive for what you get
SKU-A95D584E1B4C,c3,c3-standard-8,8, 32GB ,arm64,Us West1,US-WEST1,Us West1 F ,SUSE,premium ,on_demand,"€0,5522",0.1344 USD,1,, 57 % ,False,2023-09-02,€,pd-ssd,10,1,,,0.0,0,intercontinental,50,0.1237,per-second,720,$373.06,Manual,Too costly relative to resources
SKU-CE3FD42AB1AA,n2d,n2dSTANDARD96, 96vcpus ,384,X86-64,Tokyo,asia-northeast1,asia-northeast1-b,Windows Server 2022,Premium,OnDemand,$7.3121,"€2,4936",False, 30 % , 45 % ,False,2024-05-20,EUR,PD-STANDARD,50 GB,2,,,,,same-region,50,0.01 USD/GB,per minute,114,$769.18,Pricing API,"Affordable and reliable, highly recommended"
SKU-23F9376853A4,t2d,t2d-highcpu-96,96,96,arm64,Europe West1,europe_west1,europe-west1-a,Windows Server 2022,Premium,on-demand,5.2323,$1.0287,Y,0.25,0.45,False,2025-02-25,usd,PD-BALANCED, 100gb ,0,,,,0,same-continent,up to 1000GB,0.0783,hourly,730,,Pricing API,Excellent performance at a reasonable price
SKU-0A83EA3491A6,c3,c3 HIGHCPU 96,96 vCPU,96,x86_64,us-east1,US-EAST1,useast1d,Windows Server 2022,Standard,on_demand,6.1311,$1.8148,,30%,57%,False,04/28/2024,USD,pd-ssd,25 GB,4,0,NVIDIA_K80,1.0,0.1878,australia,50,0.18 USD/GB,Per_Second,approx 500,"4626,06 USD",Pricing API,Acceptable cost for the specifications
SKU-D9913EC36046,n2,N2 STANDARD 2,2,8,arm64,Us East4,us_east4,us-east4-f,SUSE,premium ,OnDemand,"0,1202",$0.0227,true, 25 % ,,N,16-10-2025,€,pd-ssd, 100gb ,0,0,NVIDIA_A100_80GB,1.0,"4,3383",intercontinental,10,0.115,per-second,720,2970.04,Manual,Pricing is acceptable
SKU-D936F247F17B,c3,c3-highcpu-4, 4vcpus ,4,X86-64,northamerica-northeast1,northamerica-northeast1,northamerica-northeast1-a,SUSE,STANDARD,on_demand,0.2206,0.0959 USD,no,0.25, 45 % ,Y,24/03/2023,usd,PD-SSD,100 GB,1,0,,0.0,0,australia,500,0.1906,per-second,varies,"273,3 USD",Calculator,"Moderate cost, suitable for most use cases"
SKU-E1EDB42F4872,c2,c2-highmem-4, 4vcpus ,32,arm64,asia-southeast1,asia_southeast1,asiasoutheast1d,SUSE,Standard,on_demand,$0.3470,0.1528,False, 30 % , 50 % ,N,04-04-2023,EUR,PD-SSD,100 GB,0,,,0.0,0,intercontinental,up to 50GB,0.118,hourly,720,"250,92 USD",Pricing API,Overpriced for the specifications
SKU-3A4986383E86,e2,e2-highmem-8,8,64GB,x86_64,ASIA-NORTHEAST1,asia-northeast1,ASIA-NORTHEAST1-F,RHEL,STANDARD,on_demand,US$ 0.4664,0.1555,False,30%,0.5,true,2024/06/16,USD,PD-STANDARD,25,2,,NVIDIA_A100_40GB,2.0,6.8252 USD,australia,1000,0.191,per minute,720,"5441,91 USD",Manual,Excellent balance of price and performance
SKU-24F3210D321C,n2,n2highmem2,2,16GiB,arm64,us-central1,us_central1,us-central1-c,Windows Server 2022,Premium,OnDemand,$1.8001,0.0647,, 30 % , 57 % ,true,2025-04-19,EUR,pd-standard,50 GB,4,,,,0,intercontinental,50,0.1149,Per_Second,553,$84.22,Pricing API,Great price point for the resources provided
SKU-85B2877D497B,t2d,t2dHIGHMEM8,8 vCPU,64,x86_64,us-east1,us-east1,us-east1-f,linux,premium ,OnDemand,$0.4246,US$ 0.1158,N,,,N,03/24/2023,USD,pd_standard, 50gb ,0,0,,0.0,0,same-continent,up to 500GB,"0,0791 /GB",hourly,730,"351,52 USD",Calculator,"Average cost, meets basic requirements"
SKU-29A7A30D66BE,n2d,n2d-highcpu-32, 32vcpus ,32 GiB,x86_64,US East (S. Carolina),US-EAST1,Us East1 B ,Windows Server 2019,premium ,on-demand,1.7906,0.5016 USD,False,0.25,,true,2025/10/03,USD,PD-SSD,10,4,,,0.0,0,same-region,up to 500GB,0.0102,per minute,720,,Pricing API,Pricing is acceptable
SKU-06ED87D181E0,n2d,n2d-standard-64,64,256,arm64,SOUTHAMERICA-EAST1,SOUTHAMERICA-EAST1,Southamerica East1 C ,Windows Server 2019,Standard,on-demand,"5,1507",$2.0400,,0.2,0.57,True,10/21/2025,US$,pd-ssd, 25gb ,1,,,0.0,,same-region,200,$0.010/GB,Per_Second,730,"3766,24 USD",Manual,Too costly relative to resources
SKU-AC3D982FBD18,a2,A2 HIGHMEM 16,16 vCPU,256,arm64,europe-north1,europe_north1,europenorth1e,Windows Server 2022,Standard,on_demand,"2,7388",0.9406,1,30%,,no,2025/09/20,€,pd-ssd, 100gb ,1,375,,0.0,0,same-region,up to 100GB,0.01 USD/GB,Per_Second,approx 500,"1989,98 USD",Pricing table,Acceptable cost for the specifications
SKU-B8905B7CEF52,t2d, T2D STANDARD 4 ,4 vCPU,16 GiB,X86-64,Asia Southeast1,ASIA-SOUTHEAST1,ASIA-SOUTHEAST1-E,RHEL,Premium,on-demand,0.1976,$0.0597,1,0.3,0.45,true,12/02/2023,EUR,pd-balanced,50,0,,,0.0,0,same-region,1000,"0,0095 /GB",hourly,varies,$144.29,Pricing table,Standard pricing structure
SKU-DB608F6AC1C9,e2,e2-highmem-32, 32vcpus ,256,X86-64,southamerica_east1,southamerica_east1,southamerica-east1-b,Windows Server 2022,premium ,OnDemand,"2,4084",0.3687,no,0.2, 57 % ,Y,01-07-2024,USD,PD-SSD,25,0,,,,,australia,50,$0.187/GB,per minute,730,"2078,85 USD",Manual,Pricing is competitive
SKU-DC2A1FA47FE0,n1,n1-highcpu-32,32, 28.8GB ,x86_64,asia-southeast1,ASIA-SOUTHEAST1,Asia Southeast1 A ,Linux,Standard,OnDemand,"1,1757",US$ 0.2695,Y, 25 % ,,0,2024-12-31,usd,PD-BALANCED, 50gb ,4,,,0.0,0,australia,up to 200GB,0.1916,per_second,628,920.25,Calculator,Standard pricing structure
SKU-8E0730AF2987,c3,c3STANDARD8,8 vCPU,32,x86_64,southamerica-east1,southamerica_east1,southamerica-east1-c,Windows Server 2019,Premium,on_demand,"€0,7336","€0,2051",true,,,no,30/11/2023,€,PD-BALANCED, 10gb ,1,,,,0,same-region,200,0.0098,per minute,730,"495,43 USD",Calculator,Great price point for the resources provided
SKU-C2E33AF045B7,c2,c2-standard-8,8,32 GB,arm64,us-east1,us_east1,Us East1 E ,Windows Server 2019,Premium,on_demand,"0,6012",US$ 0.1420,N,, 57 % ,Y,2023/06/27,USD,pd-balanced,100 GB,4,,,,,same-continent,1000,0.0832,per minute,262,,Manual,Too costly relative to resources
SKU-BD0C48828856,a2,a2 HIGHMEM 64, 64vcpus ,1024 GiB,arm64,northamerica_northeast1,northamerica_northeast1,northamerica-northeast1-f,SUSE,premium ,OnDemand,10.1759,2.9363 USD,1, 30 % ,,True,2023/10/06,€,PD-STANDARD,100,0,375,NVIDIA_H100_80GB,2.0,$11.0968,china,1000,"0,2378 /GB",per-second,730,12239.61,Manual,"Good value, meets our requirements perfectly"
SKU-0356B90BAA60,T2D,t2d-highmem-32,32,256,x86_64,asia_southeast1,asia_southeast1,asiasoutheast1e,SUSE,Premium,on_demand,2.0754 USD,0.5136,Y,0.3,0.45,no,2023/10/27,EUR,PD-STANDARD,25,0,,NVIDIA_A100_80GB,1.0,4.4884,same-continent,500,"€0,0768/GB",Per_Second,,,Calculator,Standard pricing structure
SKU-7D7D12CB8B71,c3,c3-standard-2,2,8,arm64,us-west1,us-west1,us-west1-e,Windows Server 2019,premium ,OnDemand,"0,1531",$0.0269,YES,30%,,no,13-02-2023,usd,pd-ssd,10GB,4,,,0.0,,same-region,100,"0,0095 /GB",per_second,720,112.88,Calculator,Satisfied with the cost and performance
SKU-44BE6CFE8E24,c3,c3-highmem-4,4 vCPU,32GiB,x86_64,asia-east1,asia-east1,asia-east1-c,linux,Premium,on-demand,$0.3371,$0.0986,1,25%,0.57,False,02/12/2024,€,pd-ssd,10,4,0,,0.0,0,same-region,1000,0.0097,Per_Second,730,236.89,Pricing table,"Average pricing, acceptable for standard workloads"
SKU-1416E4D776BE,c3,c3 HIGHCPU 16,16 vCPU,16,arm64,NORTHAMERICA-NORTHEAST1,NORTHAMERICA-NORTHEAST1,northamerica-northeast1-c,Windows Server 2019,Premium,on_demand,$1.0990,"€0,2968",0,25%,,true,2024/11/06,€,PD-SSD,100 GB,2,,,0.0,0,same-region,up to 100GB,"0,0103 /GB",hourly,730,953.01,Manual,Great deal for the resources allocated
SKU-391F1619F71D,t2d,t2d-highcpu-2,2,2 GB,x86_64,US Central (Iowa),us_central1,US-CENTRAL1-C,Windows Server 2019,premium ,on-demand,0.0947,"0,0238",,25%,0.45,N,2023/07/11,EUR,PD-SSD,50,2,2x375,,0.0,0,china,200,0.22 USD/GB,per minute,,,Calculator,"Expensive option, not recommended"
SKU-58BA4D679A0A,n2d,N2D STANDARD 32, 32vcpus ,128 GiB,x86_64,Taiwan,ASIA-EAST1,asiaeast1f,Windows Server 2019,Premium,on-demand,2.4119,"0,4813",,,,0,10/08/2024,usd,pd-standard,10 GB,2,,,0.0,0,intercontinental,200,0.1223,hourly,730,1785.53,Calculator,Adequate pricing for the resources
SKU-30A1A6E21CD5,c3,c3-highcpu-96,96 vCPU,96 GB,X86-64,southamerica_east1,southamerica_east1,southamerica-east1-d,Linux,Standard,OnDemand,US$ 5.1536,US$ 1.0388,true,20%,0.45,False,2024-04-13,US$,pd_standard,100,1,,,0.0,,china,200,"0,228 /GB",per-second,730,,Pricing API,Fair value proposition
SKU-0A75BCDBB42F,c3,C3 HIGHCPU 32,32 vCPU,32,X86-64,europe_west1,EUROPE-WEST1,europe-west1-a,RHEL,Standard,OnDemand,1.726,0.7733,0, 25 % ,0.45,1,05-02-2023,USD,PD-SSD,25GB,0,2x375,,0.0,0,same-region,200,"0,0103 /GB",per minute,approx 500,1249.03,Pricing API,"Affordable and reliable, highly recommended"
SKU-7FCF03ADDC60,C3,c3 HIGHMEM 16,16,128,arm64,asia-northeast1,asia_northeast1,asia-northeast1-b,Linux,Premium,OnDemand,US$ 1.3205,0.2381,N,25%,45%,YES,01/18/2025,USD,pd_ssd,25,2,,,,0,same-continent,1000,"0,083 /GB",per minute,720,,Manual,Excellent balance of price and performance
SKU-CF9F21C8F67D,n2d,n2d-highcpu-64,64,64,x86_64,SOUTHAMERICA-EAST1,SOUTHAMERICA-EAST1,southamericaeast1e,RHEL,premium ,on-demand,$3.2199,0.8615,False, 25 % , 50 % ,False,28/10/2024,US$,pd_standard, 10gb ,2,,NVIDIA_A100_40GB,1.0,3.4708,australia,up to 100GB,0.1895,per-second,720,4872.74,Calculator,"Poor value, consider alternatives"
SKU-19407708B2C0,c2,c2-standard-4,4 vCPU,16,x86_64,us-east1,us-east1,Us East1 E ,RHEL,premium ,OnDemand,0.2327,$0.0520,Y,,0.45,,08/06/2024,€,pd-ssd,50,1,,,,,intercontinental,up to 1000GB,0.1148,Per_Second,720,290.85,Calculator,Acceptable cost for the specifications
SKU-4073D348BE6D,e2,e2-standard-4,4,16,arm64,us_central1,us_central1,Us Central1 D ,SUSE,Standard,OnDemand,$0.1616,0.0419,true, 30 % ,,0,2023-01-03,EUR,pd-balanced,100,2,,,,0,same-continent,500,0.08 USD/GB,hourly,,152.52,Pricing table,Poor price-to-performance ratio
SKU-5A7F73899FD6,C3,c3-standard-96,96,384 GiB,arm64,US-CENTRAL1,US-CENTRAL1,uscentral1b,Linux,STANDARD,on_demand,5.185,,False,0.2, 50 % ,N,24-04-2024,EUR,pd-balanced,25,4,,,,0,intercontinental,up to 50GB,"0,1141 /GB",Per_Second,approx 500,,Manual,Satisfied with the cost and performance
